game_id,team_id,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020863,28,14,19,18,3,22,1
2025020864,12,29,18,14,6,8,0
2025020864,15,24,10,18,2,4,0
2025020865,7,24,7,16,4,6,1
2025020865,8,29,20,13,5,8,1
2025020866,1,22,9,17,5,8,0
2025020866,9,24,18,16,7,12,2
2025020867,2,23,10,18,4,6,0
2025020867,18,25,6,11,8,18,1
2025020868,19,21,10,17,3,4,1
2025020868,29,20,11,15,5,8,1
2025020869,10,17,10,14,4,2,0
2025020869,23,14,23,19,7,2,0
2025020870,25,25,12,10,4,4,2
2025020870,68,18,8,16,4,10,0
2025020871,22,24,17,6,5,6,0
2025020871,30,17,22,17,3,4,2
2025020872,54,24,11,16,2,2,1
2025020872,55,23,15,13,5,4,1
2025020873,6,20,19,14,2,25,1
2025020873,14,22,12,19,5,15,3
2025020874,12,11,12,13,6,10,1
2025020874,26,25,25,12,5,14,0
2025020875,24,28,16,15,6,4,1
2025020875,54,17,10,20,3,4,0
2025020876,7,23,20,17,2,8,1
2025020876,13,22,13,17,7,6,1
2025020877,5,25,17,18,6,8,0
2025020877,9,18,9,12,8,2,0
2025020878,2,18,12,13,4,13,0
2025020878,15,27,23,16,6,9,0
2025020879,8,16,13,11,6,6,0
2025020879,30,18,15,13,6,2,1
2025020880,18,15,11,13,4,4,1
2025020880,19,16,10,14,8,4,1
2025020881,16,14,9,13,4,8,1
2025020881,28,36,6,18,4,6,0
2025020882,25,24,19,14,4,6,1
2025020882,52,28,7,13,3,8,1
2025020883,17,27,17,9,5,4,0
2025020883,21,29,15,16,2,14,0
2025020884,23,21,10,19,6,14,0
2025020884,68,13,9,13,3,16,1
2025020885,10,14,27,13,7,4,0
2025020885,20,20,17,15,3,2,0
2025020886,7,13,9,22,9,4,1
2025020886,14,26,10,14,6,6,1
2025020887,1,18,11,13,4,6,0
2025020887,29,19,13,10,7,8,0
2025020888,2,22,12,14,3,4,0
2025020888,5,25,10,16,8,4,0
2025020889,4,21,25,21,3,2,1
2025020889,15,27,12,8,4,16,0
2025020890,9,20,16,15,7,4,2
2025020890,12,27,9,11,5,6,1
2025020891,10,13,19,18,4,9,2
2025020891,22,19,7,13,3,21,0
2025020892,24,16,14,18,5,4,0
2025020892,55,12,20,12,6,20,0
